   2    0.002 1.0927353015101525e-16   53.023 2.1196152472091612e-16   52.067
   4    0.002 2.8966165691756600e-16   51.616 4.6826691829648937e-16   50.924
   8    0.002 5.7698121479641466e-16   50.622 1.1931644908202976e-15   49.574
  16    0.002 1.1057498436307066e-15   49.684 5.9278753780644955e-15   47.261
  32    0.002 2.0382577326253856e-15   48.802 1.1659293322474618e-14   46.286
  64    0.007 3.9784946950121355e-15   47.837 3.5903897042943722e-14   44.663
 128    0.039 1.9022359303510171e-14   45.579 2.9529287001728299e-13   41.623
 256    0.244 5.9544742454873539e-14   43.933 1.0096206639817473e-12   39.849
 512    2.471 1.0885679835835604e-13   43.063 3.1329400879132052e-12   38.216
1024   20.342 4.8757065008661615e-13   40.899 1.5725271779176708e-11   35.888
2048  167.740 1.8396757543087006e-02    5.764 9.6450161933898926e-01    0.052
4096 1353.364 1.4747622609138489e-01    2.761 1.3140971660614014e+00   -0.394
