   2    0.002 5.5511151231257827e-17   54.000 1.1102230246251565e-16   53.000
   4    0.002 3.8157608723010672e-16   51.219 6.6613381477509392e-16   50.415
   8    0.002 4.1633363423443370e-16   51.093 1.1102230246251565e-15   49.678
  16    0.002 1.4406186018553003e-15   49.302 6.4392935428259079e-15   47.142
  32    0.002 1.7529567071994032e-15   49.019 7.6605388699135801e-15   46.891
  64    0.005 7.6282643735243495e-15   46.898 5.9507954119908391e-14   43.934
 128    0.029 2.1613924368270483e-14   45.395 3.0242475190789264e-13   41.588
 256    0.212 1.0857486724853516e-01    3.203 1.2990351915359497e+00   -0.377
 512    1.781 3.3397328853607178e-01    1.582 1.3800755739212036e+00   -0.465
1024   15.027 5.6015008687973022e-01    0.836 1.3459142446517944e+00   -0.429
2048  127.483                  nan      nan                  inf     -inf
