   2    0.014 1.0925462411093473e-16   53.023 2.1194258559361110e-16   52.067
   4    0.002 2.8969236186190397e-16   51.616 4.6833208689386874e-16   50.923
   8    0.002 5.7699577317519559e-16   50.622 1.1930468591197477e-15   49.574
  16    0.004 1.1057815014871102e-15   49.684 5.9275971277413225e-15   47.261
  32    0.016 2.0381647707594245e-15   48.802 1.1658619084248603e-14   46.286
  64    0.083 3.9789775037920704e-15   47.837 3.5904544176115424e-14   44.663
 128    0.572 1.9008559442733504e-14   45.580 2.9524646616430061e-13   41.623
 256    4.345 5.9548984395873389e-14   43.933 1.0097155316718398e-12   39.849
 512   32.775 1.0885517883136089e-13   43.063 3.1329966832666090e-12   38.216
1024  260.058 4.8768015450603719e-13   40.899 1.5729617261484030e-11   35.888
2048 2085.780 1.8131123855710030e-02    5.785 9.4341731071472168e-01    0.084
4096 16594.328 1.4670975506305695e-01    2.769 1.3411535024642944e+00   -0.423
